aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
MEAN,MEAN,1.5,128,0.05,embed,0.6046374243095555,0.908256880733945
MEAN,MAX,1.5,128,0.05,embed,0.11431103234381923,0.9755351681957186
MEAN,MEAN,1.5,128,0.001,embed,0.5895731797371142,0.9235474006116208
MEAN,MAX,1.5,128,0.001,embed,0.11844631516762665,0.9755351681957186
MEAN,MEAN,1.5,128,0.005,embed,0.5597400679367892,0.9235474006116208
MEAN,MAX,1.5,128,0.005,embed,0.10146211785556047,0.9755351681957186
MEAN,MEAN,1.5,256,0.1,embed,0.24383399793235858,0.9755351681957186
MEAN,MAX,1.5,256,0.1,embed,0.025550140304238664,0.9908256880733946
MEAN,MEAN,1.5,256,0.002,embed,0.5935607738886427,0.9235474006116208
MEAN,MAX,1.5,256,0.002,embed,0.12051395657953035,0.9755351681957186
MEAN,MEAN,1.5,256,0.01,embed,0.5275439373800029,0.9327217125382263
MEAN,MAX,1.5,256,0.01,embed,0.09112391079604194,0.9785932721712538
MEAN,MEAN,1.5,512,0.2,embed,0.06247230837394772,0.9877675840978594
MEAN,MAX,1.5,512,0.2,embed,0.0038399054792497417,0.9969418960244648
MEAN,MEAN,1.5,512,0.004,embed,0.6182247821592084,0.908256880733945
MEAN,MAX,1.5,512,0.004,embed,0.13675971053020233,0.9755351681957186
MEAN,MEAN,1.5,512,0.02,embed,0.410279131590607,0.9541284403669725
MEAN,MAX,1.5,512,0.02,embed,0.04711268645694875,0.9908256880733946
