aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
MEAN,MEAN,1,128,0.05,embed,0.8325210456357998,0.7186544342507645
MEAN,MAX,1,128,0.05,embed,0.2736671097326835,0.9174311926605505
MEAN,MEAN,1,128,0.001,embed,0.7551321813616896,0.8195718654434251
MEAN,MAX,1,128,0.001,embed,0.21636390488849505,0.9571865443425076
MEAN,MEAN,1,128,0.005,embed,0.7227883621326244,0.8501529051987767
MEAN,MAX,1,128,0.005,embed,0.18608772707133364,0.963302752293578
MEAN,MEAN,1,256,0.1,embed,0.4631516762664304,0.9296636085626911
MEAN,MAX,1,256,0.1,embed,0.06498301580268794,0.9785932721712538
MEAN,MEAN,1,256,0.002,embed,0.7571998227735932,0.8195718654434251
MEAN,MAX,1,256,0.002,embed,0.2181361689558411,0.9571865443425076
MEAN,MEAN,1,256,0.01,embed,0.701521193324472,0.8593272171253823
MEAN,MAX,1,256,0.01,embed,0.17072810515433468,0.9663608562691132
MEAN,MEAN,1,512,0.2,embed,0.11519716437749225,0.9877675840978594
MEAN,MAX,1,512,0.2,embed,0.010781273076355043,0.9969418960244648
MEAN,MEAN,1,512,0.004,embed,0.7730025107074288,0.8012232415902141
MEAN,MAX,1,512,0.004,embed,0.23585880962930142,0.9480122324159022
MEAN,MEAN,1,512,0.02,embed,0.5715551617190961,0.9235474006116208
MEAN,MAX,1,512,0.02,embed,0.09939447644365677,0.9755351681957186
