aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
MAX,MEAN,1.5,128,0.05,embed,0.7514399645547186,0.7920489296636085
MAX,MAX,1.5,128,0.05,embed,0.5101166740511003,0.8929663608562691
MAX,MEAN,1.5,128,0.001,embed,0.7182100132919805,0.8256880733944955
MAX,MAX,1.5,128,0.001,embed,0.49874464628562987,0.8990825688073395
MAX,MEAN,1.5,128,0.005,embed,0.6589868557081672,0.8501529051987767
MAX,MAX,1.5,128,0.005,embed,0.4411460640968838,0.9113149847094801
MAX,MEAN,1.5,256,0.1,embed,0.5402451631959828,0.8960244648318043
MAX,MAX,1.5,256,0.1,embed,0.3308226259045931,0.9296636085626911
MAX,MEAN,1.5,256,0.002,embed,0.7211637867375572,0.8256880733944955
MAX,MAX,1.5,256,0.002,embed,0.503175306453995,0.8990825688073395
MAX,MEAN,1.5,256,0.01,embed,0.6083296411165263,0.8623853211009175
MAX,MAX,1.5,256,0.01,embed,0.3919657362280313,0.9174311926605505
MAX,MEAN,1.5,512,0.2,embed,0.023630187564613794,0.9969418960244648
MAX,MAX,1.5,512,0.2,embed,0.007532122286220647,0.9969418960244648
MAX,MEAN,1.5,512,0.004,embed,0.7524737852606705,0.8073394495412844
MAX,MAX,1.5,512,0.004,embed,0.5378821444395215,0.8837920489296636
MAX,MEAN,1.5,512,0.02,embed,0.51395657953035,0.9143730886850153
MAX,MAX,1.5,512,0.02,embed,0.3107369664746714,0.9541284403669725
