aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
,MEAN,1.5,128,0.05,embed,0.6818785999113868,0.8379204892966361
,MAX,1.5,128,0.05,embed,0.45650568601388275,0.9021406727828746
,MEAN,1.5,128,0.001,embed,0.5136612021857924,0.9021406727828746
,MAX,1.5,128,0.001,embed,0.3259488997193915,0.9418960244648318
,MEAN,1.5,128,0.005,embed,0.2900605523556343,0.9755351681957186
,MAX,1.5,128,0.005,embed,0.14695022891744203,0.981651376146789
,MEAN,1.5,256,0.1,embed,0.45886870477034414,0.908256880733945
,MAX,1.5,256,0.1,embed,0.2653965440850687,0.944954128440367
,MEAN,1.5,256,0.002,embed,0.5056860138827352,0.9021406727828746
,MAX,1.5,256,0.002,embed,0.3185644661054497,0.9418960244648318
,MEAN,1.5,256,0.01,embed,0.2863683355486634,0.9724770642201835
,MAX,1.5,256,0.01,embed,0.14370107812730765,0.9785932721712538
,MEAN,1.5,512,0.2,embed,0.9887756609068085,0.1743119266055046
,MAX,1.5,512,0.2,embed,0.9618963225520603,0.2782874617737003
,MEAN,1.5,512,0.004,embed,0.5083444099837543,0.9021406727828746
,MAX,1.5,512,0.004,embed,0.3209274848619111,0.9418960244648318
,MEAN,1.5,512,0.02,embed,0.6092157731501994,0.8776758409785933
,MAX,1.5,512,0.02,embed,0.419288140599616,0.9235474006116208
