aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
,MEAN,1,128,0.05,embed,0.7967803869443214,0.72782874617737
,MAX,1,128,0.05,embed,0.5836656328459607,0.8134556574923547
,MEAN,1,128,0.001,embed,0.7183577019642593,0.8073394495412844
,MAX,1,128,0.001,embed,0.5307930881701374,0.8623853211009175
,MEAN,1,128,0.005,embed,0.5021414857480431,0.9021406727828746
,MAX,1,128,0.005,embed,0.30852163639048885,0.9418960244648318
,MEAN,1,256,0.1,embed,0.8969133067493723,0.5932721712538226
,MAX,1,256,0.1,embed,0.7530645399497858,0.709480122324159
,MEAN,1,256,0.002,embed,0.7075764288879043,0.8165137614678899
,MAX,1,256,0.002,embed,0.5186826170432728,0.8746177370030581
,MEAN,1,256,0.01,embed,0.49283709939447645,0.9021406727828746
,MAX,1,256,0.01,embed,0.2989218726923645,0.944954128440367
,MEAN,1,512,0.2,embed,0.999113867966327,0.03363914373088685
,MAX,1,512,0.2,embed,0.9961600945207503,0.0764525993883792
,MEAN,1,512,0.004,embed,0.7099394476443657,0.8165137614678899
,MAX,1,512,0.004,embed,0.5211933244720129,0.8715596330275229
,MEAN,1,512,0.02,embed,0.8109584994830896,0.7217125382262997
,MAX,1,512,0.02,embed,0.6349136021267169,0.7920489296636085
